,type,title,description,viewCount,lengthText,country,date
0,video,"Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024","Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
https://youtu.be/ZPRn...",388134,3:00:56,FR,2024-10-11
1,shorts_listing,Shorts,,,,FR,2024-10-11
2,video_listing,Breaking news,,,,FR,2024-10-11
3,shorts_listing,Shorts,,,,FR,2024-10-11
4,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8


Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",296137,11:54:57,FR,2024-10-11
5,video,Rush Nextbot Gmod,#nextbots #garrysmod #gmod #nextbotchase #nextbotchasing #shortsvideo #shorts #nextbotchase #garrysmod #fyp #games #skibiditoilet #robloxindo #gta,421,8:06,FR,2024-10-11
6,video_listing,Trending,,,,FR,2024-10-11
7,video,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2024 Season,"Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFLBrasilOficial
NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...",766445,13:21,FR,2024-10-11
8,video,Surah Al Baqarah - Ahmad Al-Shalabi [ 002 ] I Bacaan Quran Merdu,"Donasi :
https://www.paypal.me/tadabburfhd
https://saweria.co/tadabburfhd

Terjemah Kemenag 2002

Surah Al-Baqarah (bahasa Arab: سورة البقرة, translit. sūrah al-baqarah, har. 'Sapi...",14665337,2:05:09,FR,2024-10-11
9,video,"Musique Douce: Relaxante, Calme - Nature Relaxation","Musique douce et relaxante avec 4K vidéo de la forêt et  chute d'eau, musique calme et nature, relaxation.
Playlist Musique Relaxante: https://www.youtube.com/playlist?list=PLKxspWK8-EBAG02ZcuFVM...",86241559,2:04:50,FR,2024-10-11
10,video,90's Chill Lofi ☕️ Study Music Lofi Rain Chillhop Beats ☔️ Lofi Rain Playlist,"The Japanese Town is dedicated for lofi beats & lofi rain music. We present relaxing rain 
Atmosphere and lofi ambience which is perfect for sleep,relaxing & Study.

subcribe if you would like...",2024420,11:53:45,FR,2024-10-11
11,video,Scary Among Vs Towers In Garry's Mod!,,139,10:06,FR,2024-10-11
12,video,"Hurricane Milton devastates the Manasota Key and Grove City, Florida - Drone","Hurricane Milton leaves homes badly damaged or completely washed away, boats crashed into houses, streets covered in sand. First look at Manitoba Key and Grove City after significant storm...",3392483,8:36,FR,2024-10-11
13,video,2010s roadtrip mix ~nostalgia playlist,"I made Spotify Playlist with Music for your car:
https://open.spotify.com/playlist/0DXan8VCWZoeW7QuDUTn7t
 
pov: you are on a roadtrip during 2010s summer night while listening to these nostalgic...",9996897,1:09:29,FR,2024-10-11
14,video,"chilling ~ 90's r&b/soul/playlist 🎶 Mary J. Blige, Akon, Nelly, Ne-Yo, Usher","✔️""Step into a world where soulful rhythms and emotive lyrics reign supreme with our dedicated YouTube channel celebrating the rich tapestry of R&B and soul music from the 90s and 2000s....",2157927,1:23:07,FR,2024-10-11
15,video,Comedy • 2001,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on...",,1:36:02,FR,2024-10-11
16,video,Classic Rock 80s and 90s 🤘 Best Rock Music From 80's and 90's 🤘 Oldies Rock 80's and 90's Playlist,"📲 Add the songs to your playlist using MUZAL: https://www.muzal.com/
👉 Contact us here: contact@red-music.com

00:00 - Guns N' Roses - November Rain
08:25 - Nirvana - Smells Like Teen...",9507213,1:17:06,FR,2024-10-11
17,video,القارئ الشيخ :  ماهر المعيقلي سورة البقرة ||  Sourat Albaqarah  Sheikh: Maher Al Muaiqly,"القارئ الشيخ :  ماهر المعيقلي سورة البقرة ||  Sourat Albaqarah  Sheikh: Maher Al Mueaqly

#quran  #qurantilawat
#القران 
#القران_الكريم
#qurantila...",7648274,1:48:01,FR,2024-10-11
18,video,UNIQUE ANIMALS COLLECTION - 8K (60FPS) ULTRA HD - With Nature Sounds (Colorfully Dynamic),"UNIQUE ANIMALS COLLECTION - 8K (60FPS) ULTRA HD - With Nature Sounds (Colorfully Dynamic)
Enjoy the peaceful and colorful nature views in beautiful 8K UHD.  Helps Relax & Fall Asleep FAST!...",7771753,8:42:38,FR,2024-10-11
19,video,Porsche 911 Turbo S v SLEEPER Skoda Superb: DRAG RACE,"Change your car with Carwow: https://bit.ly/Change-Your-Car-0810

We’ve got our hands on a Porsche 996 911 Turbo S and it’s going up against… A Skoda Superb?! 

Think it sounds like an...",828899,11:47,FR,2024-10-11
20,video,GREGMMA ramasse son 1er KO sur sa chaine (merci Stéphane Susperregui  😅),"Champion du monde poids lourd de kick-boxing K1, Stéphane Susperregui est un grand champion  aussi discret que redoutable.
En -95 kg : 3 fois champion du monde en K1 et 4 fois champion de...",191850,25:07,FR,2024-10-11
21,video,Sonic Tapes Family Vs Towers (Part 2) - Garry's Mod,"Sonic tapes family vs towers in garry's mod (Part 2)
Hi! My Name is Gmodsuu
Thank for watching, I hope you enjoy this video!!
#nextbot #gmod #garrysmod",602,1:01:20,FR,2024-10-11
22,video,Tranquill Jazz In Lakeside | Cozy Outdoor Autumn Coffee Shop Ambience With Warm Fireplace For Rel...,"Tranquill Jazz In Lakeside | Cozy Outdoor Autumn Coffee Shop Ambience With Warm Fireplace For Relax
Channel: Tranquill Jazz Melody
Composer: ViVi Smooth Jazz
Happy Lightly Jazz ☕ Feeling...",468296,3:20:14,FR,2024-10-11
