,type,title,description,viewCount,lengthText,isLive,country,date
0,video,Smooth Fall Jazz Music at Cozy Coffee Shop Ambience 🍂 Jazz Relaxing Music & Crackling Fireplace,"Smooth Fall Jazz Music at Cozy Coffee Shop Ambience 🍂 Jazz Relaxing Music & Crackling Fireplace

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register now...",125994,11:54:57,,FR,2024-10-16
1,shorts_listing,Shorts,,,,,FR,2024-10-16
2,video_listing,Trending,,,,,FR,2024-10-16
3,shorts_listing,Shorts,,,,,FR,2024-10-16
4,video,"Summer Mix 2024 🍓 Best Popular Songs 2024 🍓Faded, Supergirl, A Sky Full Of Star, Perfect Cover","Summer Mix 2024 🍓 Best Popular Songs 2024 🍓Faded, Supergirl, A Sky Full Of Star, Perfect Cover
🟢 Stream/Download: https://listen.magicrelaxmusic.com/deep/spotify:auto

#summermix #deephous...",3676,LIVE,True,FR,2024-10-16
5,video,"Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024","Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
https://youtu.be/ZPRn...",631364,3:00:56,,FR,2024-10-16
6,video,Did Sabrina Carpenter Cause NYC Mayor's Downfall?,"Come see me live: Check out https://joshjohnsoncomedy.com/tour for dates and sign up for the waitlist to be notified when I'm performing in your city.

Hi Friends,

This week I wanted to share...",166551,39:57,,FR,2024-10-16
7,video,WORK MUSIC - 1 Hour of Ultimate Work Music for Deep Focus and Efficiency,"WORK MUSIC - 1 Hour of Ultimate Work Music for Deep Focus and Efficiency

Welcome to Deep Chill Music's ""WORK MUSIC - 1 Hour of Ultimate Work Music for Deep Focus and Efficiency""! This specially...",1551116,1:10:37,,FR,2024-10-16
8,video,Surah Al Waqiah | Relaxing Quran Recitation For Your Soul | سورة الواقعة | Zikrullah TV,"❱ Become our member: https://www.patreon.com/ZikrullahTV
❱ Donate us: https://bit.ly/3ZKnLzw
❱ Join this channel to get access to perks:
https://www.youtube.com/channel/UCKQkz17Nh6BJZBd0eHhWd...",2506537,3:06:07,,FR,2024-10-16
9,video,Autumn Vibes Mix 🎃 Chill Mix to Calm Down,"The trees are losing their leaves and the days are getting shorter, but there is nothing more special cozy than a warm day in autumn 🍂 Grab a coffee or tea and enjoy this mix 🌅

🔔Subscribe...",1556885,2:39:12,,FR,2024-10-16
10,video,HOT ONES : Gilles Lellouche finit en larmes,"Truc de ouf à quel point cette rivalité avec Pierre Niney les suit partout. Truc de ouf aussi d'avoir laissé Gilles seul face au Pepper X, mais ça c'était une idée de Kyan.

Basé sur...",1212811,37:01,,FR,2024-10-16
11,video,RESTORATION OF THE NERVOUS SYSTEM 🌸 Gentle music that calms the nervous system and pleases the soul,"RESTORATION OF THE NERVOUS SYSTEM 🌸 Gentle music that calms the nervous system and pleases the soul #60 
 @soothingmelodies48 @SoothingRelaxation @loveyourself.alexander @HealingHeart2910...",1224375,3:42:00,,FR,2024-10-16
12,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",262266,10:10:12,,FR,2024-10-16
13,video,Troy | Achilles Takes The Beach of Troy | ClipZone: High Octane Hits,"Achilles (Brad Pitt) leads the charge onto the beaches of troy as  King Agamemnon (Brian Cox) watches on. Hector (Eric Bana) chases the spartans into the Temple of Apollo for a fight.

About...",688993,10:52,,FR,2024-10-16
14,video,"Trump’s Mad at “Loser” Jimmy Kimmel Again, Holds a DOOZY of a Town Hall & Attacks Kamala’s Health","Election Day is exactly three weeks from today, Donald Trump just did a podcast with the Nelk Boys where he once again turned the conversation towards Jimmy, last night he held a doozy of a...",900768,14:26,,FR,2024-10-16
15,video,Higher Calling (1111 Hz) | 1 hour handpan music | Malte Marten & Konstantin Rössler,"Jamming with my brother @konstantin.roessler is always a deeply meaningful experience. There's an unspoken bond between us when we play, a seamless flow of energy that turns the music into...",307972,1:03:29,,FR,2024-10-16
16,video,"Alok, Dua Lipa, Coldplay, Martin Garrix & Kygo, The Chainsmokers Style - Summer Vibes #96","Alok, Dua Lipa, Coldplay, Martin Garrix & Kygo, The Chainsmokers Style - Summer Vibes #96

 #DeepHouse #VocalHouse #DeepHouseMix #summervibes 

Follow Deep Universe Radio

Youtube:@heliosdeep236...",1559125,3:49:57,,FR,2024-10-16
17,video,Man Builds Amazing DIY CONTAINER HOME with a Rooftop Terrace | Low-Cost Housing ‪@Fabricatusueno,"Container houses, derived from repurposed shipping containers, have gained popularity in recent years due to their economic benefits and environmental sustainability. Constructing a container...",2795892,20:10,,FR,2024-10-16
18,video,Cooking Curry During College Lecture!,"Love you guys thank you so much for the support!

follow my socials: 

Instagram -   / fiqueayub  
Snapchat - fiqueayub33

business inquiries - fiqueayub33@gmail.com",318946,14:17,,FR,2024-10-16
19,video,سورة البقرة  بصوت الشيخ ماهر المعقلي كامله (بدون اعلانات),,397358,1:47:59,,FR,2024-10-16
20,video,"Italy Cafe Shop Ambience ☕ Outdoor Cafe Vibes & Relaxing Bosa Nova Piano Jazz for Study, Relax, Work","Italy Cafe Shop Ambience ☕ Outdoor Cafe Vibes & Relaxing Bosa Nova Piano Jazz for Study, Relax, Work
https://www.youtube.com/playlist?list=PLt7p0wVHicWngF2l1Nl0bygyo2RzSzmLX
  #italycafe...",665187,11:54:58,,FR,2024-10-16
21,video,How Amazon killed Toys'R'Us: the incredible story behind the global toy giant,"Toys'R'Us had an insanely strong position, with very few competitors, and yet in just a few years, Toys'R'Us closed. Is the toy industry a thing of the past, or did this giant make mistakes...",102460,15:33,,FR,2024-10-16
22,video,"Musique Douce: Relaxante, Calme - Nature Relaxation","Musique douce et relaxante avec 4K vidéo de la forêt et  chute d'eau, musique calme et nature, relaxation.
Playlist Musique Relaxante: https://www.youtube.com/playlist?list=PLKxspWK8-EBAG02ZcuFVM...",86448876,2:04:50,,FR,2024-10-16
