,type,title,description,viewCount,lengthText,country,date
0,video,Pomodoro Timer 3x30 (1.5hr) | ADHD | Let's get focused! | Lofi + train ambience ♡,"▶ 𝗔𝗗𝗛𝗗 𝐖𝐎𝐑𝐊𝐁𝐎𝐎𝐊𝐒 & 𝗦𝗧𝗜𝗖𝗞𝗘𝗥𝗦 : 

https://www.etsy.com/shop/IngriDesigns
▶ 𝗣𝗔𝗧𝗥𝗘𝗢𝗡:  
  / adhdcouple  ...",334351,1:54:59,IT,2024-10-10
1,video,Ed Sheeran Playlist 2024 - Best Songs Collection Full Album - The Best Of Ed Sheeran - Greatest Hits,"Ed Sheeran Playlist 2024 - Best Songs Collection Full Album - The Best Of Ed Sheeran - Greatest Hits
Ed Sheeran Playlist 2024 - Best Songs Collection Full Album - The Best Of Ed Sheeran - Greatest...",3007132,1:47:46,IT,2024-10-10
2,video_listing,Trending,,,,IT,2024-10-10
3,shorts_listing,Shorts,,,,IT,2024-10-10
4,video,Animation • 2014,"The first-ever full-length theatrical LEGO movie follows Emmet an ordinary, rules-following, perfectly average LEGO minifigure who is mistakenly identified as the most extraordinary person...",,1:40:32,IT,2024-10-10
5,video,Americans every 4 years,i love it this country so good love it,1045,0:13,IT,2024-10-10
6,shorts_listing,Shorts,,,,IT,2024-10-10
7,video,"𝐂𝐨𝐳𝐲 𝐂𝐨𝐟𝐟𝐞𝐞 𝐒𝐡𝐨𝐩 𝐀𝐦𝐛𝐢𝐞𝐧𝐜𝐞 | 𝐃𝐚𝐫𝐤 𝐀𝐜𝐚𝐝𝐞𝐦𝐢𝐚 𝐌𝐮𝐬𝐢𝐜 𝐟𝐨𝐫 𝐒𝐭𝐮𝐝𝐲𝐢𝐧𝐠, 𝐑𝐞𝐚𝐝𝐢𝐧𝐠, 𝐖𝐫𝐢𝐭𝐢𝐧𝐠 | 𝐌𝐞𝐥𝐚𝐧𝐜𝐡𝐨𝐥𝐢𝐜 𝐏𝐢𝐚𝐧𝐨","Beautiful Melancholic Piano Music for Cozy Atmosphere While Reading, Writing, Studying  and Relaxing

🎧 SPOTIFY: 
https://open.spotify.com/artist/5UmKVIPkXIe4xE4XFn1W5R

▶️ JOIN to get...",1903934,1:06:06,IT,2024-10-10
8,video,Making aerogel,"Go to https://buyraycon.com/NileRed for 15% off your order! Brought to you by Raycon.

It has taken many months, but I was finally able to make a decent aerogel! 

Procedure resources: https://www....",34376919,43:56,IT,2024-10-10
9,shorts_listing,Shorts,,,,IT,2024-10-10
10,video,Ennio Morricone - The Best of Ennio Morricone - Greatest Hits (HD Audio),"#EnnioMorricone #EnnioMorriconeMusic #spaghettiwesternmusic #theglanceofmusic #TheBestOfEnnioMorricone 
Maestro Ennio Morricone and his timeless masterpieces.

Ennio Morricone Film Music Collection...",38210853,1:07:07,IT,2024-10-10
11,video,Satoru Gojo Brazilian Phonk Mix | Gym Phonk Training,"Satoru Gojo Brazilian Phonk Mix | Gym Phonk Training

🟢 Phonk Playlist - https://open.spotify.com/playlist/2nbDUEL7hzrbD1VqTzy42N

🔵Telegramm - https://t.me/Phonk_BaseTG

00:00:00 - MANDA_BAL...",679074,3:04:10,IT,2024-10-10
12,video,"$5,000 or 5,000 Subscribers in 1 Week | Episode 4","what's up everyone! in this series i am chasing my long time goal of reaching 5,000 subscribers, but with a twist. since gaining subscribers is pretty cliche and has been done over and over,...",147,3:44,IT,2024-10-10
13,video,WHISKEY BLUES MUSIC 🎸  BEST OF SLOW BLUES/ROCK 🎸 Beautiful Relaxing Blues Songs,"--------------------------------------
The origins of these beautiful blues songs:

1. The Shadow - Blues Cousins
Single tune:   https://www.youtube.com/watch?v=m3hPg-v4Eac
2. The Day the Blues...",1846845,3:18:21,IT,2024-10-10
14,video,4-HOUR 🌧️ Study With Me • Rain sounds☔+ Lofi bgm • Pomodoro 50-10 • Day131🌳,"🔹☾+.｡☔ＦＩＮＤ　ＭＥ　ＨＥＲＥ🎠.｡+☽
👽Instagram: https://www.instagram.com/em_malilyn/
.・。.・゜✭・.・✫・゜・。.
⌛Timestamps
0:00 - Intro
0:20...",908691,4:00:55,IT,2024-10-10
15,video,Hermitcraft 10 - SPOOKY PUMPKINS! Ep. 26,"GeminiTay is jump scaring the hermitcraft members with a new spooky build! A minecraft pumpkin patch with a redstone armor swapper.

✨Follow me!
Twitch: https://www.twitch.tv/geminitay
Twitter:...",140187,26:20,IT,2024-10-10
16,video,Someone You Loved ♫ Sad songs playlist for broken hearts ~ Depressing Songs That Will Make You Cry,"Someone You Loved ♫ Sad songs playlist for broken hearts ~ Depressing Songs That Will Make You Cry

Welcome to First Love! 
➤ Spotify: Pop: https://magicmusic.lnk.to/theBestPop
----------------...",8496643,2:08:24,IT,2024-10-10
17,video,Green’s Channel! – Influencer Arc Ep. 1,"Subscribe to Green's channel! @Greenzilla4 

🖐 ASK ME ANYTHING! ► https://www.youtube.com/noogai89/join 

👕 MERCH! ► https://alanbecker.shop

💬DISCORD SERVER ► https://discord.gg/ala...",7247082,11:24,IT,2024-10-10
18,video,"ADAM, Elyanna & Massari - Calling You, ZHUREK & Real Love (Isko Alvarez & Kamro Remix)","All Music Released By Miami Music
 

 / _miamimusic  

🎧 Follow Miami Music on Spotify: https://ln.run/JmBmP
🎧 Follow Miami Music on Soundcloud: https://ln.run/0f7UW
🎧 Follow Deep...",1813110,1:25:11,IT,2024-10-10
