,type,title,description,viewCount,lengthText,country,date
0,video,Third Trump assassination attempt thwarted,"US Police say they have prevented an alleged third assassination attempt on former president Donald Trump in California.

A man armed with guns and fake passes was stopped by police at his...",1646610,3:29,FR,2024-10-14
1,shorts_listing,Shorts,,,,FR,2024-10-14
2,video_listing,Trending,,,,FR,2024-10-14
3,shorts_listing,Shorts,,,,FR,2024-10-14
4,video,Fall Grounds at Hogwarts | Harry Potter Music and Ambience from Hogwarts Legacy,"Cozy fall scenes from Hogwarts Legacy

Scenes captured on PC in-game from Hogwarts Legacy

Music from Hogwarts Legacy soundtrack with artists J Scott Rakozy, Chuck E. Meyers, Peter Murray
...",696363,59:41,FR,2024-10-14
5,video,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2024 Season,"Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFLBrasilOficial
NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...",2413503,13:21,FR,2024-10-14
6,video,Animation • 2014,"The first-ever full-length theatrical LEGO movie follows Emmet an ordinary, rules-following, perfectly average LEGO minifigure who is mistakenly identified as the most extraordinary person...",,1:40:32,FR,2024-10-14
7,video,"Alok, Dua Lipa, Coldplay, Martin Garrix & Kygo, The Chainsmokers Style - Summer Vibes #96","Alok, Dua Lipa, Coldplay, Martin Garrix & Kygo, The Chainsmokers Style - Summer Vibes #96

 #DeepHouse #VocalHouse #DeepHouseMix #summervibes 

Follow Deep Universe Radio

Youtube:@heliosdeep236...",1525080,3:49:57,FR,2024-10-14
8,video,Hurricane Helene becomes powerful Category 4 storm before landfall,"Hurricane Helene brought destructive winds, torrential rains and the possibility of a catastrophic storm surge to the Gulf Coast and Panhandle of Florida. Officials said most people were complying...",1312177,5:36,FR,2024-10-14
9,video,Les Pires Plats Du Monde ! (J'aurai pas dû les manger...),"Je Mange 30 Aliments Mortels ! (Dangereux ou pas ?) c'est vraiment la pire dégustation sur YouTube, j'ai testé mes limites.... 

Je Teste 20 Objets Du Futur (Arnaque ou Pas) https://youtu.be/PLLg...",637730,26:21,FR,2024-10-14
10,video,234 personnes sont congelées ici,"🖥 Pour essayer Odoo : https://www.odoo.com/r/nxmv

🔥 CAPTE MOI SUR MES RÉSEAUX 
_______________________
- Instagram : https://www.instagram.com/spuech
- Twitch : https://twitch.tv/simonpuech...",674386,28:17,FR,2024-10-14
11,video,en fait les cours en ligne c'est hilarant,"ABONNE-TOI ! http://bit.ly/2fm88Xo (merci)
Vêtements Yoko : http://www.yokoshop.com

Réseaux :

Insta : https://www.instagram.com/xsqueezie/
Twitter : http://www.twitter.com/xSqueeZie
Facebook...",17271903,11:30,FR,2024-10-14
12,video,When Rich Kids Were Never Told No As A Child,Having rich parents often leads to a privileged and entitled life. But what happens when rich kids have to face the harsh reality of life? Here are three rich kids who were never told no as...,10448102,24:13,FR,2024-10-14
13,video,What Happens Minutes BEFORE DEATH - This Video Will SHOCK YOU,"Welcome to BiblicalWisdom! In this video, we explore the mysterious and thought-provoking moments that occur just before death—a topic that will leave you utterly speechless and amazed. This...",278460,16:50,FR,2024-10-14
14,video,LE 4x4 LE PLUS BRUYANT DU MONDE 😱😨!! PUROSANGUE MANSORY À 1.700.000€ !!,"Pensez à m'ajouter sur instagram: GMK001 
http://www.instagram.com/gmk001",863166,30:40,FR,2024-10-14
15,video,Pourquoi le Qatar rachète la France ? | ATLAS,"200 millions d'euros par an : c'est ce que la France perdrait chaque année au profit du Qatar. Et pour cause, la France est un paradis fiscal pour les résidents qataris. Sport, luxe, industrie,...",151871,12:57,FR,2024-10-14
16,video,PRETENDING TO DATE FOR 24 HOURS,"#murdermystery2 #roblox #vanilbean 

*GIVEAWAY CLOSED*
ENTER THE GIVEAWAY HERE: https://youtooz.com/pages/vanilbean-giveaway
Winners will be contacted by Youtooz on OCTOBER 12TH so make sure...",372551,11:27,FR,2024-10-14
17,video,"QUI FERA LA MEILLEURE PARODIE ? (ft Sora, Adeline Chetail & Laurent Blanpain)","VIDÉO NON SPONSORISÉE PAR ÉGARD POUR LES AYANTS DROITS.

Réalisé par Victor Niverd

Écrit par Victor Niverd et Lenny Royer
Directeur Technique : Gaël Copin
Directeur de Production :...",533707,31:31,FR,2024-10-14
18,video,L'horreur existentielle de l'usine à trombones.,"Un trombone.
Deux trombones.
Trois trombones..?

_ _ _

Un grand merci au Centre pour la Sécurité de l'IA. Pour faire un tour sur leur discord, c'est par ici :

https://discord.gg/BRaqKU8hvf...",767414,38:19,FR,2024-10-14
19,video,Hitler in Colour (4K WW2 Documentary),"Documentary using only original colour footage charts the 12 years from Adolf Hitler's rise to power to the fall of Berlin in 1945. Complemented by eyewitness material, tracks the dramatic...",13060682,1:10:44,FR,2024-10-14
20,video,Malik Bentalha - L'heure de trop sur TNEWS,Bienvenue à South Park !,7789949,16:15,FR,2024-10-14
21,video,Craziest Nature Videos of the Decade,"Hello everyone, this is YOUR Daily Dose of Internet. In this video, these are the craziest nature videos of the decade.

Links To Sources: 

https://docs.google.com/document/d/1x_8enuewr-H1sVRCIGZm...",1979332,16:09,FR,2024-10-14
22,video,Changer la couleur de ses yeux : beauté ou danger ? | RTS,"Changer la couleur de ses yeux : beauté ou danger ?

Nous pouvons aujourd’hui changer de manière définitive la couleur de nos yeux et ce, uniquement pour des raisons cosmétiques. Mais...",151900,20:21,FR,2024-10-14
